ano,mes,sigla_uf,densidade,Latitude,Longitude
2022,9,PA,95.481345054516,-5.53,-52.29
2022,9,MT,109.5555982227,-12.64,-55.42
2022,9,MS,106.85529800123,-20.51,-54.54
2022,9,MG,109.99131007106,-18.10,-44.38
2022,9,MA,87.144037506465,-2.55,-44.30
2022,9,GO,109.25172085154,-16.64,-49.31
2022,9,ES,110.92032160806,-19.19,-40.34
2022,9,DF,129.3046713817,-15.83,-47.86
2022,9,CE,99.928989745769,-3.71,-38.54
2022,9,BA,104.32469557173,-12.96,-38.51
2022,9,AP,109.59035211613,1.41,-51.77
2022,9,AM,100.1447791585,-3.07,-61.66
2022,9,AL,94.109405210725,-9.71,-35.73
2022,9,AC,99.589410452203,-8.77,-70.55
2022,8,TO,106.13585945765,-10.25,-48.25
2022,8,SP,122.9239215651,-23.55,-46.64
2022,8,SE,103.67856376705,-10.90,-37.07
2022,8,SC,106.14685316615,-27.33,-49.44
2022,8,RS,107.34335333302,-30.11,-51.22
2022,8,RR,96.172106685023,1.89,-61.22
2022,8,RO,107.47930444727,-11.22,-62.80
2022,8,RN,106.19790540594,-5.22,-36.52
2022,8,RJ,119.14294687279,-22.84,-43.15
2022,8,PR,105.58935920766,-24.89,-51.55
2022,8,PI,95.116205799584,-8.28,-43.68
2022,8,PE,111.4794900286,-8.28,-35.07
2022,8,PB,110.13917491405,-7.06,-35.55
2022,8,PA,95.56705090553,-5.53,-52.29
2022,8,MT,109.3836845447,-12.64,-55.42
2022,8,MS,107.28936772228,-20.51,-54.54
2022,8,MG,110.28911346852,-18.10,-44.38
2022,8,MA,90.157977267521,-2.55,-44.30
2022,8,GO,109.56061235725,-16.64,-49.31
2022,8,ES,111.20724061598,-19.19,-40.34
2022,8,DF,129.51135719834,-15.83,-47.86
2022,8,CE,107.59195503753,-3.71,-38.54
2022,8,BA,104.6434114104,-12.96,-38.51
2022,8,AP,109.38162910289,1.41,-51.77
2022,8,AM,100.38364193419,-3.07,-61.66
2022,8,AL,100.74359450694,-9.71,-35.73
2022,8,AC,98.992923113252,-8.77,-70.55
2022,7,TO,105.94769689419,-10.25,-48.25
2022,7,SP,121.70739613474,-23.55,-46.64
2022,7,SE,102.68714376359,-10.90,-37.07
2022,7,SC,105.51182644136,-27.33,-49.44
2022,7,RS,107.20224776311,-30.11,-51.22
2022,7,RR,91.940317741705,1.89,-61.22
2022,7,RO,107.67968192605,-11.22,-62.80
2022,7,RN,106.4165568982,-5.22,-36.52
2022,7,RJ,119.72733666847,-22.84,-43.15
2022,7,PR,105.52347733258,-24.89,-51.55
2022,7,PI,93.577205432522,-8.28,-43.68
2022,7,PE,111.15515245654,-8.28,-35.07
2022,7,PB,109.46927848695,-7.06,-35.55
2022,7,PA,94.774345710494,-5.53,-52.29
2022,7,MT,108.956485068,-12.64,-55.42
2022,7,MS,106.58015017956,-20.51,-54.54
