Tipo de Outorga;CNPJ;UF;Empresa;Porte da Prestadora;Grupo Econômico;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06
Autorização;02421421000111;MS;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;943;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;996;994;993;992;930;930;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
Autorização;02421421000111;MG;TIM;Grande Porte;TELECOM ITALIA;4244;4350;4358;4322;4346;4422;4396;4492;4518;4399;4461;4679;4719;4853;4933;4960;5066;5179;5153;5175;5202;5308;5500;5769;5807;6103;6347;6337;6405;6435;6599;6607;6922;6859;6901;6887;7141;7231;7524;7548;7296;7240;7315;7276;6250;6270;6192;6184;6181;6237;6289;6289;5958;6254;6464;6675;6708;7031;7449;7315;7557;7549;7667;7646;7493;8079;8362;7674;7284;7280;7188;7274;7246
Autorização;02421421000111;PA;TIM;Grande Porte;TELECOM ITALIA;785;804;806;797;803;807;808;826;825;795;803;850;860;886;906;913;932;960;961;974;981;1015;1063;1130;1147;1221;1282;1332;1274;1274;1315;1302;1306;1305;1308;1312;1308;1308;1344;1350;1362;1348;1344;1342;1048;1053;1026;1024;1023;1022;1020;1020;975;974;974;974;975;988;1040;1039;1037;1035;1027;1022;991;995;991;894;891;890;882;881;874
Autorização;02421421000111;PB;TIM;Grande Porte;TELECOM ITALIA;785;804;806;797;803;807;808;796;795;765;803;850;860;886;906;913;932;960;961;974;981;1015;1063;1130;1147;1221;1282;1272;1274;1274;1315;1302;1306;1305;1308;1312;1308;1308;1344;1350;1362;1348;1344;1342;1078;1083;1056;1054;1053;1052;1050;1050;945;944;944;944;945;958;1010;1009;1007;1005;997;992;991;995;991;894;891;890;882;881;874
Autorização;02421421000111;PR;TIM;Grande Porte;TELECOM ITALIA;3380;3486;3524;3488;3632;3678;3652;3724;3690;3570;3632;3850;3890;4024;4104;4132;4238;4290;4294;4466;4494;4720;4912;5210;5278;5124;5398;5298;5276;5276;5440;5388;5434;5580;5592;5638;5622;5652;5796;5820;6078;6052;6066;6058;5032;5052;4974;4996;5022;5078;5310;5310;5010;5006;5306;5306;5310;5722;5990;5986;5948;5970;5908;5888;5944;5960;5944;5526;5454;5450;5358;5234;5236
Autorização;02421421000111;PE;TIM;Grande Porte;TELECOM ITALIA;1115;1224;1256;1247;1253;1437;1378;1366;1335;1305;1643;1690;1970;1966;1866;1873;1982;2010;2011;2024;1881;1915;1963;2060;2077;2181;2242;2232;2174;2174;2215;2232;2236;2325;2517;2641;2637;2637;2673;2679;2691;2677;2673;2671;2437;2502;2475;2473;2292;2291;2349;2409;2364;2363;2453;2483;2514;2626;2678;2557;2555;2433;2455;2450;2389;2393;2389;2292;2001;2000;1992;1931;1894
Autorização;02421421000111;PI;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;1003;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;996;994;993;992;990;990;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
Autorização;02421421000111;RJ;TIM;Grande Porte;TELECOM ITALIA;6197;6464;6619;6622;6551;6592;6596;7044;7161;7191;8175;8516;8726;8774;8925;8975;9122;10407;10349;10748;11039;11291;11645;11996;12287;12570;13082;13202;13268;13238;13451;13562;13694;13781;13791;13832;13821;13971;14198;14546;15242;15350;16298;16802;18650;18965;18974;19388;19505;19592;19886;20337;20111;20798;21278;22298;23081;25070;25766;26324;26528;26447;27443;27427;28385;28786;27787;27844;27715;27652;27389;27266;27064
Autorização;02421421000111;RN;TIM;Grande Porte;TELECOM ITALIA;785;804;806;797;803;807;808;796;795;765;773;820;830;886;876;883;902;930;931;944;951;985;1033;1100;1117;1191;1282;1272;1274;1274;1315;1302;1306;1305;1308;1312;1308;1308;1344;1350;1362;1348;1344;1372;1108;1113;1086;1084;1083;1082;1080;1080;975;944;974;1004;1035;1078;1130;1129;1127;1125;1117;1112;1141;1115;1111;1044;1041;1010;972;971;934
Autorização;02421421000111;RS;TIM;Grande Porte;TELECOM ITALIA;2020;2088;2092;2074;2086;2154;2156;2192;2220;2190;2236;2390;2500;2552;2622;2666;2704;2790;2792;2818;2892;2840;2876;3070;3134;3282;3464;3474;3508;3658;3800;3774;3782;3750;3786;3824;3816;3906;4038;4050;4258;4230;4222;4308;3780;3790;3766;3762;3820;3938;3934;3994;3784;3782;3782;3782;3814;3870;3944;3972;3908;3844;3798;3788;3786;3824;3726;3412;3375;3404;3388;3386;3372
